Clutter Class,Path Loss (DL) (dB),Best Server,Transmitter_X,Transmitter_Y,User_X,User_Y,Max_Power,Transmitter_Height,Transmitter_Azimuth,Transmitter_Mechanical_Downtilt,Antenna_Gain,Antenna_Horizontal_Half-power_Beamwidth,Antenna_Vertical_Half-power_Beamwidth,Frequency,Horizontal_Attenuation,Vertical_Attenuation,User_Azimuth,User_Downtilt,User_Height,RSRP,Distance_euclid
11 - open_in_urban,110.95,Site6_1,595864.14,5633631.83,595902,5633672,43,14,0,9,8,65,6,3300,0.23,0.23,223.5,-12.8,1.5,-80.87,55.19971467
7 - dense_urban,106.17,Site7_2,596216.91,5633488.93,596227,5633393,45,30,120,7,8,65,6,3300,0.14,0.14,354.1,-5.6,1.5,-78.93,96.45917789
1 - open,103.26,Site3_2,595774.83,5633884.13,595827,5633870,49,30,120,5,8,65,6,3300,0.07,0.07,285.1,-48.8,1.5,-74.66,54.0496605
1 - open,93.78,Site7_2,596216.91,5633488.93,596251,5633500,45,30,120,7,8,65,6,3300,0.14,0.14,252.1,-28.6,1.5,-71.56,35.8423353
11 - open_in_urban,109.47,Site5_3,596165.56,5633716.67,596085,5633665,47,13,240,8,8,65,6,3300,0.18,0.18,57.3,-6.8,1.5,-76.54,95.70633469
11 - open_in_urban,105.67,Site6_2,595864.14,5633631.83,595907,5633659,48,18,120,2,8,65,6,3300,0.01,0.01,237.9,-18,1.5,-80.75,50.74631514
7 - dense_urban,107.06,Site7_1,596216.91,5633488.93,596232,5633552,44,15,0,6,8,65,6,3300,0.1,0.1,193.4,-0.4,1.5,-72.65,64.85008096
1 - open,116.91,Site4_3,596192.35,5634069.44,596156,5634017,43,10,240,4,8,65,6,3300,0.05,0.05,34.7,-7.7,1.5,-82.52,63.80655217
11 - open_in_urban,121.04,Site2_2,595886.47,5634321.74,596077,5634219,43,18,120,2,8,65,6,3300,0.01,0.01,298.3,-9.3,1.5,-89.22,216.4652131
11 - open_in_urban,92.37,Site1_1,595522.53,5634212.34,595559,5634270,47,20,0,2,8,65,6,3300,0.01,0.01,211.8,-16.7,1.5,-60.57,68.22562935
7 - dense_urban,110.67,Site2_1,595886.47,5634321.74,595837,5634407,43,14,0,4,8,65,6,3300,0.05,0.05,150,-9,1.5,-77.11,98.5725545
19 - high_buildings,113.95,Site3_1,595774.83,5633884.13,595725,5633934,45,15,0,2,8,65,6,3300,0.01,0.01,135,-13.9,1.5,-80.32,70.49855176
7 - dense_urban,115.36,Site1_2,595522.53,5634212.34,595585,5634051,43,15,146,3,8,65,6,3300,0.03,0.03,338.9,2.8,1.5,-81.47,173.0118392
1 - open,118.15,Site1_3,595522.53,5634212.34,595476,5634069,48,13,240,1,8,65,6,3300,0,0,18.2,-5.1,1.5,-83.73,150.7030076
19 - high_buildings,120.06,Site3_1,595774.83,5633884.13,595719,5633928,45,15,0,2,8,65,6,3300,0.01,0.01,128.2,-13.8,1.5,-86.18,71.0039844
11 - open_in_urban,106.12,Site6_2,595864.14,5633631.83,595877,5633556,48,18,120,2,8,65,6,3300,0.01,0.01,350.3,-12.1,1.5,-81.67,76.91273302
1 - open,118.74,Site2_3,595886.47,5634321.74,595757,5634309,44,20,240,5,8,65,6,3300,0.07,0.07,84.2,-16.1,1.5,-84.83,130.0953054
19 - high_buildings,101.99,Site1_2,595522.53,5634212.34,595538,5634115,43,15,146,3,8,65,6,3300,0.03,0.03,351.2,10.7,1.5,-71.69,98.56163807
1 - open,131.49,Site8_1,595922.19,5634056.05,596014,5634329,46,22,0,2,8,65,6,3300,0.01,0.01,198.6,-5.6,1.5,-96.7,287.9770453
7 - dense_urban,118.65,Site5_1,596165.56,5633716.67,596104,5633758,49,30,0,7,8,65,6,3300,0.14,0.14,123.5,-1.2,1.5,-83.77,74.14716785
7 - dense_urban,101.83,Site6_1,595864.14,5633631.83,595885,5633669,43,14,0,9,8,65,6,3300,0.23,0.23,209.6,13.9,1.5,-74.03,42.62333281
7 - dense_urban,119.41,Site4_2,596192.35,5634069.44,596189,5633954,44,14,120,6,8,65,6,3300,0.1,0.1,1.5,3.2,1.5,-85.11,115.4885973
19 - high_buildings,111.22,Site1_2,595522.53,5634212.34,595604,5634165,43,15,146,3,8,65,6,3300,0.03,0.03,300.1,7.6,1.5,-79.18,94.22545569
7 - dense_urban,96.16,Site4_1,596192.35,5634069.44,596183,5634114,41,18,0,2,8,65,6,3300,0.01,0.01,168.7,8.1,1.5,-63.84,45.53038656
1 - open,103.68,Site3_1,595774.83,5633884.13,595752,5633911,45,15,0,2,8,65,6,3300,0.01,0.01,139.6,-31.2,1.5,-78.1,35.25912364
1 - open,126.63,Site2_2,595886.47,5634321.74,596051,5634295,43,18,120,2,8,65,6,3300,0.01,0.01,279.3,-3.3,1.5,-91.72,166.6887774
11 - open_in_urban,116.97,Site6_2,595864.14,5633631.83,595907,5633652,48,18,120,2,8,65,6,3300,0.01,0.01,245.1,-19.2,1.5,-94.1,47.3688558
11 - open_in_urban,116.36,Site7_3,596216.91,5633488.93,596158,5633409,47,23,240,3,8,65,6,3300,0.03,0.03,36.4,-12.2,1.5,-82.95,99.29346907
1 - open,129.87,Site8_2,595922.19,5634056.05,596241,5633909,49,21,120,1,8,65,6,3300,0,0,294.7,-4.5,1.5,-96.26,351.0890465
15 - dense_residential,111.88,Site2_1,595886.47,5634321.74,595832,5634426,43,14,0,4,8,65,6,3300,0.05,0.05,152.6,-12.7,1.5,-78.78,117.6313245
1 - open,119.18,Site5_2,596165.56,5633716.67,596152,5633640,49,28,120,8,8,65,6,3300,0.18,0.18,10.3,-0.4,1.5,-85.27,77.85989019
1 - open,115.16,Site7_3,596216.91,5633488.93,596103,5633509,47,23,240,3,8,65,6,3300,0.03,0.03,100,-10.5,1.5,-82,115.6645711
1 - open,128.85,Site8_2,595922.19,5634056.05,596091,5633778,49,21,120,1,8,65,6,3300,0,0,328.7,-4.8,1.5,-94.72,325.2823675
7 - dense_urban,96.22,Site6_1,595864.14,5633631.83,595879,5633671,43,14,0,9,8,65,6,3300,0.23,0.23,201,14.1,1.5,-68.26,41.89401509
1 - open,112.76,Site8_1,595922.19,5634056.05,595998,5634125,46,22,0,2,8,65,6,3300,0.01,0.01,227.8,-15.5,1.5,-81.33,102.4756488
11 - open_in_urban,101.53,Site2_2,595886.47,5634321.74,595937,5634335,43,18,120,2,8,65,6,3300,0.01,0.01,255.7,-34,1.5,-72.39,52.24087002
7 - dense_urban,108.69,Site2_3,595886.47,5634321.74,595809,5634363,44,20,240,5,8,65,6,3300,0.07,0.07,118,-10.1,1.5,-73.9,87.77236752
1 - open,119.99,Site8_2,595922.19,5634056.05,596038,5633930,49,21,120,1,8,65,6,3300,0,0,317.4,-9.1,1.5,-85.56,171.1740594
7 - dense_urban,106.81,Site7_2,596216.91,5633488.93,596239,5633386,45,30,120,7,8,65,6,3300,0.14,0.14,347.9,-5.2,1.5,-79.55,105.2737052
1 - open,105.15,Site8_2,595922.19,5634056.05,596058,5633897,49,21,120,1,8,65,6,3300,0,0,319.5,-7.5,1.5,-70.47,209.1441096
7 - dense_urban,111.59,Site2_1,595886.47,5634321.74,595862,5634369,43,14,0,4,8,65,6,3300,0.05,0.05,152.9,-17.4,1.5,-80.35,53.21924934
19 - high_buildings,113.86,Site3_2,595774.83,5633884.13,595769,5633784,49,30,120,5,8,65,6,3300,0.07,0.07,3.4,-11.6,1.5,-79.44,100.2995803
1 - open,130.64,Site1_1,595522.53,5634212.34,595688,5634294,47,20,0,2,8,65,6,3300,0.01,0.01,243.6,-5.4,1.5,-95.85,184.5228346
19 - high_buildings,71.97,Site3_2,595774.83,5633884.13,595779,5633882,49,30,120,5,8,65,6,3300,0.07,0.07,296.6,-81.1,1.5,-35.9,4.682499333
7 - dense_urban,109.07,Site3_1,595774.83,5633884.13,595729,5633930,45,15,0,2,8,65,6,3300,0.01,0.01,135,-21.4,1.5,-78.86,64.841698
11 - open_in_urban,106.88,Site6_2,595864.14,5633631.83,595897,5633614,48,18,120,2,8,65,6,3300,0.01,0.01,298.6,-23.7,1.5,-81.88,37.38567239
1 - open,110.69,Site5_2,596165.56,5633716.67,596192,5633699,49,28,120,8,8,65,6,3300,0.18,0.18,304.7,-40,1.5,-83.96,31.80098269
19 - high_buildings,118.57,Site5_2,596165.56,5633716.67,596187,5633668,49,28,120,8,8,65,6,3300,0.18,0.18,336.8,-0.5,1.5,-86.32,53.18310352
11 - open_in_urban,133.69,Site8_3,595922.19,5634056.05,595780,5633685,43,16,240,0,8,65,6,3300,0,0,20.9,-3.2,1.5,-99.75,397.3614206
19 - high_buildings,116.13,Site3_2,595774.83,5633884.13,595763,5633783,49,30,120,5,8,65,6,3300,0.07,0.07,6.8,-11.4,1.5,-81.85,101.8195747
11 - open_in_urban,111.41,Site1_2,595522.53,5634212.34,595700,5633941,43,15,146,3,8,65,6,3300,0.03,0.03,326.8,-2.7,1.5,-79.17,324.2236828
19 - high_buildings,105.02,Site3_3,595774.83,5633884.13,595731,5633852,49,17,240,3,8,65,6,3300,0.03,0.03,54,-9.9,1.5,-71.91,54.34524634
7 - dense_urban,114.59,Site1_3,595522.53,5634212.34,595412,5634154,48,13,240,1,8,65,6,3300,0,0,62.4,1.1,1.5,-82.31,124.9817447
1 - open,89.28,Site8_1,595922.19,5634056.05,595858,5634200,46,22,0,2,8,65,6,3300,0.01,0.01,156,-6.7,1.5,-54.88,157.6133199
19 - high_buildings,118.8,Site6_1,595864.14,5633631.83,595852,5633724,43,14,0,9,8,65,6,3300,0.23,0.23,172.6,14.8,1.5,-92.22,92.96606101
7 - dense_urban,93.28,Site4_3,596192.35,5634069.44,596188,5634065,43,10,240,4,8,65,6,3300,0.05,0.05,45,53,1.5,-65.8,6.215794398
19 - high_buildings,121.81,Site8_1,595922.19,5634056.05,596044,5634206,46,22,0,2,8,65,6,3300,0.01,0.01,219.1,2.2,1.5,-87.9,193.1907829
19 - high_buildings,88.77,Site3_1,595774.83,5633884.13,595762,5633897,45,15,0,2,8,65,6,3300,0.01,0.01,135,-36.3,1.5,-59.88,18.17266629
1 - open,108.83,Site3_2,595774.83,5633884.13,595810,5633816,49,30,120,5,8,65,6,3300,0.07,0.07,332.8,-38.8,1.5,-81.06,76.67219705
11 - open_in_urban,111.63,Site2_2,595886.47,5634321.74,596103,5634276,43,18,120,2,8,65,6,3300,0.01,0.01,282,-9.1,1.5,-77.41,221.3083561
7 - dense_urban,117.65,Site6_3,595864.14,5633631.83,595841,5633672,43,20,240,4,8,65,6,3300,0.05,0.05,150.1,8,1.5,-84.66,46.35826248
19 - high_buildings,116.49,Site2_2,595886.47,5634321.74,596032,5634291,43,18,120,2,8,65,6,3300,0.01,0.01,282,1.3,1.5,-81.65,148.741146
7 - dense_urban,125.8,Site4_1,596192.35,5634069.44,596033,5634159,41,18,0,2,8,65,6,3300,0.01,0.01,119.5,-1.4,1.5,-90.93,182.79337
7 - dense_urban,127.8,Site8_2,595922.19,5634056.05,596035,5633894,49,21,120,1,8,65,6,3300,0,0,325.1,-2.8,1.5,-93.16,197.4494837
12 - parks_in_urban,109.01,Site5_3,596165.56,5633716.67,596100,5633566,47,13,240,8,8,65,6,3300,0.18,0.18,23.6,2.3,1.5,-76.93,164.315436
1 - open,121.86,Site4_1,596192.35,5634069.44,596212,5634218,41,18,0,2,8,65,6,3300,0.01,0.01,187.6,-3.6,1.5,-87.74,149.8539159
7 - dense_urban,110.05,Site1_2,595522.53,5634212.34,595508,5634154,43,15,146,3,8,65,6,3300,0.03,0.03,14.5,8.1,1.5,-77.51,60.12217977
12 - parks_in_urban,112.72,Site5_1,596165.56,5633716.67,596186,5633687,49,30,0,7,8,65,6,3300,0.14,0.14,326.3,-36.3,1.5,-87.55,36.02918956
1 - open,105.63,Site6_1,595864.14,5633631.83,595905,5633689,43,14,0,9,8,65,6,3300,0.23,0.23,215.7,-10.1,1.5,-72.78,70.27053792
19 - high_buildings,111.07,Site3_1,595774.83,5633884.13,595707,5633929,45,15,0,2,8,65,6,3300,0.01,0.01,123.5,-14.1,1.5,-77.31,81.32789066
11 - open_in_urban,114.75,Site8_1,595922.19,5634056.05,595869,5634212,46,22,0,2,8,65,6,3300,0.01,0.01,161.2,-9.8,1.5,-80.71,164.7712918
11 - open_in_urban,106.37,Site4_1,596192.35,5634069.44,596154,5634136,41,18,0,2,8,65,6,3300,0.01,0.01,150.4,-12.1,1.5,-73.36,76.81768091
19 - high_buildings,127.4,Site3_2,595774.83,5633884.13,595796,5633672,49,30,120,5,8,65,6,3300,0.07,0.07,354.3,-7.6,1.5,-92.41,213.1837372
11 - open_in_urban,110.47,Site7_2,596216.91,5633488.93,596292,5633458,45,30,120,7,8,65,6,3300,0.14,0.14,292.5,-18.1,1.5,-77.65,81.21067048
1 - open,110.88,Site5_2,596165.56,5633716.67,596193,5633672,49,28,120,8,8,65,6,3300,0.18,0.18,329,-1.6,1.5,-78.14,52.42482713
12 - parks_in_urban,116.92,Site4_3,596192.35,5634069.44,596114,5633972,43,10,240,4,8,65,6,3300,0.05,0.05,38.8,-3.9,1.5,-82,125.0331
1 - open,120.62,Site8_3,595922.19,5634056.05,595733,5633888,43,16,240,0,8,65,6,3300,0,0,48.4,-5.1,1.5,-86.31,253.0487277
7 - dense_urban,103.11,Site6_3,595864.14,5633631.83,595854,5633559,43,20,240,4,8,65,6,3300,0.05,0.05,7.8,5,1.5,-68.96,73.53249962
19 - high_buildings,127.66,Site5_2,596165.56,5633716.67,596174,5633665,49,28,120,8,8,65,6,3300,0.18,0.18,351.3,-0.5,1.5,-93.78,52.35477533
7 - dense_urban,113.44,Site2_3,595886.47,5634321.74,595631,5633973,44,20,240,5,8,65,6,3300,0.07,0.07,36.2,-1.8,1.5,-79.38,432.3014093
1 - open,90.36,Site8_1,595922.19,5634056.05,595980,5634282,46,22,0,2,8,65,6,3300,0.01,0.01,194.4,-7,1.5,-55.84,233.2282114
1 - open,117.23,Site4_3,596192.35,5634069.44,596106,5634085,43,10,240,4,8,65,6,3300,0.05,0.05,100.5,-5.5,1.5,-83.05,87.74073227
1 - open,112.66,Site4_1,596192.35,5634069.44,596242,5634211,41,18,0,2,8,65,6,3300,0.01,0.01,199.4,-6.3,1.5,-77.76,150.0145196
15 - dense_residential,104.65,Site3_3,595774.83,5633884.13,595714,5633865,49,17,240,3,8,65,6,3300,0.03,0.03,72.7,-33.6,1.5,-75.64,63.76712162
1 - open,105.76,Site3_3,595774.83,5633884.13,595734,5633884,49,17,240,3,8,65,6,3300,0.03,0.03,90,-49.8,1.5,-86.38,40.83020696
19 - high_buildings,120.34,Site6_1,595864.14,5633631.83,595901,5633789,43,14,0,9,8,65,6,3300,0.23,0.23,193.3,18,1.5,-91.68,161.4344093
1 - open,110.9,Site3_2,595774.83,5633884.13,595788,5633797,49,30,120,5,8,65,6,3300,0.07,0.07,351.5,-31.3,1.5,-87.27,88.11972424
7 - dense_urban,110.53,Site6_1,595864.14,5633631.83,595892,5633653,43,14,0,9,8,65,6,3300,0.23,0.23,233.1,16.7,1.5,-88.9,34.99069162
11 - open_in_urban,111.83,Site4_1,596192.35,5634069.44,596086,5634242,41,18,0,2,8,65,6,3300,0.01,0.01,148.5,-4.6,1.5,-78.14,202.6999657
1 - open,113.92,Site3_3,595774.83,5633884.13,595728,5633870,49,17,240,3,8,65,6,3300,0.03,0.03,73.4,-44.7,1.5,-86.75,48.91529209
7 - dense_urban,114.87,Site8_2,595922.19,5634056.05,596130,5633976,49,21,120,1,8,65,6,3300,0,0,291,-0.9,1.5,-80.53,222.6948554
15 - dense_residential,121.29,Site5_1,596165.56,5633716.67,596054,5633778,49,30,0,7,8,65,6,3300,0.14,0.14,118.6,-7.4,1.5,-86.64,127.3067261
7 - dense_urban,120.3,Site1_1,595522.53,5634212.34,595600,5634358,47,20,0,2,8,65,6,3300,0.01,0.01,207.8,-1.2,1.5,-86.3,164.9801094
1 - open,114.26,Site8_1,595922.19,5634056.05,596029,5634261,46,22,0,2,8,65,6,3300,0.01,0.01,207.6,-7,1.5,-80.32,231.1122641
19 - high_buildings,97.84,Site5_1,596165.56,5633716.67,596171,5633748,49,30,0,7,8,65,6,3300,0.14,0.14,189.2,-15.1,1.5,-64.52,31.79878142
11 - open_in_urban,132.02,Site8_2,595922.19,5634056.05,596213,5633919,49,21,120,1,8,65,6,3300,0,0,295.2,-4.9,1.5,-98.54,321.4858607
19 - high_buildings,101.32,Site8_2,595922.19,5634056.05,596103,5633983,49,21,120,1,8,65,6,3300,0,0,292,0.4,1.5,-67.13,195.0091244
19 - high_buildings,122.55,Site6_3,595864.14,5633631.83,595824,5633651,43,20,240,4,8,65,6,3300,0.05,0.05,115.4,24.8,1.5,-94.77,44.4826764
1 - open,84.3,Site5_3,596165.56,5633716.67,596153,5633692,47,13,240,8,8,65,6,3300,0.18,0.18,27.5,-22.2,1.5,-53.51,27.68325306
7 - dense_urban,121.38,Site3_2,595774.83,5633884.13,596031,5633868,49,30,120,5,8,65,6,3300,0.07,0.07,273.6,-8.3,1.5,-86.86,256.6773184
15 - dense_residential,125.83,Site4_1,596192.35,5634069.44,596110,5634208,41,18,0,2,8,65,6,3300,0.01,0.01,149.5,-4.1,1.5,-91.95,161.1843544
19 - high_buildings,114.6,Site3_1,595774.83,5633884.13,595722,5633940,45,15,0,2,8,65,6,3300,0.01,0.01,136.6,-12.8,1.5,-80.81,76.89256011
11 - open_in_urban,105.73,Site7_2,596216.91,5633488.93,596325,5633532,45,30,120,7,8,65,6,3300,0.14,0.14,248.3,-13.8,1.5,-80.62,116.354944
19 - high_buildings,117.31,Site3_3,595774.83,5633884.13,595706,5633874,49,17,240,3,8,65,6,3300,0.03,0.03,81.8,-12.5,1.5,-83.88,69.57144385
15 - dense_residential,116.94,Site6_2,595864.14,5633631.83,595962,5633698,48,18,120,2,8,65,6,3300,0.01,0.01,236,-4.1,1.5,-87.92,118.1314882
19 - high_buildings,112.95,Site5_1,596165.56,5633716.67,596094,5633758,49,30,0,7,8,65,6,3300,0.14,0.14,119.7,-1,1.5,-78.14,82.63777889
15 - dense_residential,122.86,Site8_3,595922.19,5634056.05,595790,5633762,43,16,240,0,8,65,6,3300,0,0,24.2,-2.2,1.5,-89.38,322.3966479
19 - high_buildings,116.02,Site8_1,595922.19,5634056.05,596037,5634222,46,22,0,2,8,65,6,3300,0.01,0.01,214.7,2.4,1.5,-82.93,201.7938022
7 - dense_urban,107.68,Site7_1,596216.91,5633488.93,596282,5633503,44,15,0,6,8,65,6,3300,0.1,0.1,257.8,9.8,1.5,-75.44,66.59334051
1 - open,122.21,Site2_3,595886.47,5634321.74,595625,5634343,44,20,240,5,8,65,6,3300,0.07,0.07,94.6,-6.2,1.5,-89.02,262.3328963
7 - dense_urban,115.26,Site8_3,595922.19,5634056.05,595639,5633981,43,16,240,0,8,65,6,3300,0,0,75.2,0.5,1.5,-80.33,292.9660025
7 - dense_urban,120.06,Site8_2,595922.19,5634056.05,596122,5633955,49,21,120,1,8,65,6,3300,0,0,296.8,-1.7,1.5,-86.96,223.9087729
1 - open,118.9,Site1_1,595522.53,5634212.34,595648,5634383,47,20,0,2,8,65,6,3300,0.01,0.01,216.2,-5.5,1.5,-85.3,211.819632
19 - high_buildings,114.87,Site3_1,595774.83,5633884.13,595724,5633898,45,15,0,2,8,65,6,3300,0.01,0.01,105.4,-14.3,1.5,-81.98,52.68838392
7 - dense_urban,122.41,Site1_2,595522.53,5634212.34,595583,5633998,43,15,146,3,8,65,6,3300,0.03,0.03,344.3,0.6,1.5,-87.87,222.7066602
19 - high_buildings,117.75,Site3_2,595774.83,5633884.13,595776,5633766,49,30,120,5,8,65,6,3300,0.07,0.07,359.5,-11.7,1.5,-83.21,118.1357939
1 - open,116.77,Site7_3,596216.91,5633488.93,596223,5633411,47,23,240,3,8,65,6,3300,0.03,0.03,355.6,-15.4,1.5,-85.36,78.16759559
19 - high_buildings,114.78,Site1_2,595522.53,5634212.34,595508,5634045,43,15,146,3,8,65,6,3300,0.03,0.03,5.1,5.6,1.5,-82.18,167.9696297
1 - open,119.15,Site5_3,596165.56,5633716.67,596191,5633674,47,13,240,8,8,65,6,3300,0.18,0.18,329.8,-5.2,1.5,-90.09,49.67818938
15 - dense_residential,107.28,Site7_1,596216.91,5633488.93,596255,5633525,44,15,0,6,8,65,6,3300,0.1,0.1,226.5,-7.1,1.5,-72.61,52.45848835
15 - dense_residential,118.34,Site7_1,596216.91,5633488.93,596254,5633589,44,15,0,6,8,65,6,3300,0.1,0.1,200.3,-3.5,1.5,-83.45,106.722411
7 - dense_urban,124.56,Site1_3,595522.53,5634212.34,595390,5634138,48,13,240,1,8,65,6,3300,0,0,60.9,3.6,1.5,-93.36,151.9560348
7 - dense_urban,134.06,Site4_2,596192.35,5634069.44,596299,5634121,44,14,120,6,8,65,6,3300,0.1,0.1,244.1,-4.1,1.5,-99.08,118.4595125
1 - open,117.09,Site7_3,596216.91,5633488.93,596165,5633374,47,23,240,3,8,65,6,3300,0.03,0.03,24.3,-9.7,1.5,-84.4,126.1092899
1 - open,119.7,Site1_3,595522.53,5634212.34,595486,5634224,48,13,240,1,8,65,6,3300,0,0,108,-19.1,1.5,-88.33,38.34574944
11 - open_in_urban,110.17,Site4_1,596192.35,5634069.44,596076,5634222,41,18,0,2,8,65,6,3300,0.01,0.01,142.8,-4.9,1.5,-76.42,191.8642127
7 - dense_urban,125.69,Site7_3,596216.91,5633488.93,596242,5633372,47,23,240,3,8,65,6,3300,0.03,0.03,347.9,1.2,1.5,-91.32,119.5915256
1 - open,115.61,Site6_3,595864.14,5633631.83,595815,5633670,43,20,240,4,8,65,6,3300,0.05,0.05,127.8,12.3,1.5,-84.25,62.2228937
7 - dense_urban,111.86,Site6_1,595864.14,5633631.83,595898,5633763,43,14,0,9,8,65,6,3300,0.23,0.23,194.5,4.9,1.5,-78.31,135.4698066
11 - open_in_urban,109.99,Site5_1,596165.56,5633716.67,596099,5633856,49,30,0,7,8,65,6,3300,0.14,0.14,154.3,-10.5,1.5,-75.64,154.4120543
19 - high_buildings,120.86,Site1_2,595522.53,5634212.34,595466,5634093,43,15,146,3,8,65,6,3300,0.03,0.03,25.6,-6.7,1.5,-86.07,132.0517948
1 - open,87.93,Site7_2,596216.91,5633488.93,596226,5633405,45,30,120,7,8,65,6,3300,0.14,0.14,353.9,-18.6,1.5,-63.71,84.42080905
11 - open_in_urban,103.77,Site4_1,596192.35,5634069.44,596146,5634174,41,18,0,2,8,65,6,3300,0.01,0.01,156.3,-8.2,1.5,-69.28,114.372707
19 - high_buildings,83.81,Site8_3,595922.19,5634056.05,595794,5633942,43,16,240,0,8,65,6,3300,0,0,48.3,3.5,1.5,-49.3,171.5811138
19 - high_buildings,83.78,Site7_2,596216.91,5633488.93,596287,5633524,45,30,120,7,8,65,6,3300,0.14,0.14,243.4,-2.6,1.5,-55.76,78.3741858
11 - open_in_urban,121.09,Site1_2,595522.53,5634212.34,595584,5634061,43,15,146,3,8,65,6,3300,0.03,0.03,338,-5.4,1.5,-86.38,163.3473492
7 - dense_urban,105.36,Site6_2,595864.14,5633631.83,595893,5633664,48,18,120,2,8,65,6,3300,0.01,0.01,222.2,8.6,1.5,-76.39,43.21815012
19 - high_buildings,107.16,Site5_1,596165.56,5633716.67,596169,5633672,49,30,0,7,8,65,6,3300,0.14,0.14,356.2,-4.4,1.5,-76.02,44.80225999
19 - high_buildings,96.13,Site8_1,595922.19,5634056.05,595968,5634125,46,22,0,2,8,65,6,3300,0.01,0.01,213.7,3.8,1.5,-63.36,82.78078642
7 - dense_urban,102.57,Site1_1,595522.53,5634212.34,595541,5634226,47,20,0,2,8,65,6,3300,0.01,0.01,232.1,-20.4,1.5,-71.57,22.97251619
19 - high_buildings,120.31,Site5_1,596165.56,5633716.67,596187,5633666,49,30,0,7,8,65,6,3300,0.14,0.14,337.6,-2.6,1.5,-86.74,55.01929207
7 - dense_urban,111.61,Site4_3,596192.35,5634069.44,596159,5634000,43,10,240,4,8,65,6,3300,0.05,0.05,25.6,10,1.5,-81.15,77.03334408
7 - dense_urban,111.1,Site4_1,596192.35,5634069.44,596137,5634133,41,18,0,2,8,65,6,3300,0.01,0.01,139.3,-7.1,1.5,-76.99,84.28224072
11 - open_in_urban,115.48,Site2_1,595886.47,5634321.74,595942,5634396,43,14,0,4,8,65,6,3300,0.05,0.05,217.1,-18.7,1.5,-86.1,92.72609395
1 - open,122,Site7_1,596216.91,5633488.93,596216,5633595,44,15,0,6,8,65,6,3300,0.1,0.1,179.5,-7.3,1.5,-89.84,106.0739035
1 - open,120.76,Site5_2,596165.56,5633716.67,596187,5633657,49,28,120,8,8,65,6,3300,0.18,0.18,340.7,-22.6,1.5,-89.11,63.40490912
1 - open,109.72,Site5_3,596165.56,5633716.67,596188,5633678,47,13,240,8,8,65,6,3300,0.18,0.18,330.6,-14.4,1.5,-82.9,44.70931111
1 - open,113.44,Site7_3,596216.91,5633488.93,596185,5633353,47,23,240,3,8,65,6,3300,0.03,0.03,13.2,-8.7,1.5,-79.3,139.6252592
19 - high_buildings,113.74,Site3_1,595774.83,5633884.13,595746,5633926,45,15,0,2,8,65,6,3300,0.01,0.01,145.4,-14.8,1.5,-81.73,50.83567448
19 - high_buildings,115.71,Site6_3,595864.14,5633631.83,595833,5633551,43,20,240,4,8,65,6,3300,0.05,0.05,20.9,5.6,1.5,-82.72,86.62094724
7 - dense_urban,73.39,Site7_2,596216.91,5633488.93,596257,5633464,45,30,120,7,8,65,6,3300,0.14,0.14,302,-4.2,1.5,-40.68,47.20924698
1 - open,111.57,Site8_1,595922.19,5634056.05,595817,5634209,46,22,0,2,8,65,6,3300,0.01,0.01,145.5,-7.8,1.5,-78.91,185.6303817
1 - open,121.25,Site7_1,596216.91,5633488.93,596115,5633569,44,15,0,6,8,65,6,3300,0.1,0.1,128.1,-1.5,1.5,-86.33,129.6026736
11 - open_in_urban,118.8,Site2_3,595886.47,5634321.74,595696,5634370,44,20,240,5,8,65,6,3300,0.07,0.07,104.2,-10.8,1.5,-84.34,196.4887999
7 - dense_urban,111.88,Site8_2,595922.19,5634056.05,596051,5633825,49,21,120,1,8,65,6,3300,0,0,330.8,-1.2,1.5,-78.06,264.5299957
1 - open,124.81,Site2_1,595886.47,5634321.74,595865,5634442,43,14,0,4,8,65,6,3300,0.05,0.05,170.1,-14.5,1.5,-92.09,122.1614853
11 - open_in_urban,97.83,Site4_3,596192.35,5634069.44,596172,5633997,43,10,240,4,8,65,6,3300,0.05,0.05,15.5,-6.5,1.5,-63.36,75.24411007
19 - high_buildings,120.57,Site3_2,595774.83,5633884.13,595857,5633734,49,30,120,5,8,65,6,3300,0.07,0.07,331.3,-8.2,1.5,-86.79,171.1459196
7 - dense_urban,108.38,Site4_1,596192.35,5634069.44,596222,5634110,41,18,0,2,8,65,6,3300,0.01,0.01,216.2,6.2,1.5,-76.21,50.24177644
1 - open,110.13,Site5_3,596165.56,5633716.67,596080,5633754,47,13,240,8,8,65,6,3300,0.18,0.18,113.3,-7,1.5,-83.22,93.34903588
7 - dense_urban,126.16,Site7_3,596216.91,5633488.93,596177,5633376,47,23,240,3,8,65,6,3300,0.03,0.03,19.5,-3.1,1.5,-91.89,119.7747594
19 - high_buildings,115.62,Site3_2,595774.83,5633884.13,595890,5633760,49,30,120,5,8,65,6,3300,0.07,0.07,317.2,-8.2,1.5,-80.63,169.3292231
7 - dense_urban,130.94,Site8_2,595922.19,5634056.05,596048,5633879,49,21,120,1,8,65,6,3300,0,0,324.6,-1.2,1.5,-96.25,217.1977408
15 - dense_residential,115.84,Site3_3,595774.83,5633884.13,595720,5633864,49,17,240,3,8,65,6,3300,0.03,0.03,70,-29.8,1.5,-88.58,58.40843946
